Rk,Name,Age,T,W,L,W-L%,ERA,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Rel▼,Name-additional,H/ip,R/ip,ER/ip,HR/ip,BB/ip,IBB/ip,HBP/ip,SO/ip,WP/ip
12,Kyle Gibson,35,R,9,9,0.5,4.44,1,162.0,159,85,80,20,54,1,138,8,0,4,685,1.315,8.8,1.1,3.0,7.7,2.56,77%,gibsoky01,0.9814814814814815,0.5246913580246914,0.49382716049382713,0.12345679012345678,0.3333333333333333,0.006172839506172839,0.04938271604938271,0.8518518518518519,0.024691358024691357
13,Jordan Lyles,32,R,10,11,0.476,4.66,1,166.0,177,91,86,26,52,0,136,7,0,6,714,1.38,9.6,1.4,2.8,7.4,2.62,77%,lylesjo01,1.0662650602409638,0.5481927710843374,0.5180722891566265,0.1566265060240964,0.3132530120481928,0.0,0.04216867469879518,0.8192771084337349,0.03614457831325301
14,Robbie Ray,31,L,11,10,0.524,3.62,1,174.0,150,73,70,28,58,1,195,6,0,6,717,1.195,7.8,1.4,3.0,10.1,3.36,77%,rayro02,0.8620689655172413,0.41954022988505746,0.40229885057471265,0.16091954022988506,0.3333333333333333,0.005747126436781609,0.034482758620689655,1.1206896551724137,0.034482758620689655
15,Framber Valdez,29,L,13,7,0.65,3.16,1,174.0,148,68,61,13,61,1,166,10,1,10,724,1.201,7.7,0.7,3.2,8.6,2.72,77%,valdefr01,0.8505747126436781,0.39080459770114945,0.3505747126436782,0.07471264367816093,0.3505747126436782,0.005747126436781609,0.05747126436781609,0.9540229885057471,0.05747126436781609
16,Tyler Anderson,33,L,11,8,0.579,3.49,1,165.0,150,70,64,18,41,1,132,6,0,4,675,1.158,8.2,1.0,2.2,7.2,3.22,76%,anderty01,0.9090909090909091,0.42424242424242425,0.3878787878787879,0.10909090909090909,0.24848484848484848,0.006060606060606061,0.03636363636363636,0.8,0.024242424242424242
17,Chris Bassitt,34,R,12,7,0.632,3.4,1,167.0,147,66,63,17,47,1,155,11,1,5,686,1.162,7.9,0.9,2.5,8.4,3.3,76%,bassich01,0.8802395209580839,0.39520958083832336,0.3772455089820359,0.10179640718562874,0.281437125748503,0.005988023952095809,0.0658682634730539,0.9281437125748503,0.029940119760479042
18,Luis Castillo,30,R,8,9,0.471,3.51,1,154.0,136,68,60,15,53,1,161,7,1,2,645,1.227,7.9,0.9,3.1,9.4,3.04,76%,castilu02,0.8831168831168831,0.44155844155844154,0.38961038961038963,0.09740259740259741,0.34415584415584416,0.006493506493506494,0.045454545454545456,1.0454545454545454,0.012987012987012988
19,Max Fried,29,L,13,7,0.65,2.93,1,169.0,144,60,55,14,40,1,157,6,0,7,684,1.089,7.7,0.7,2.1,8.4,3.93,76%,friedma01,0.8520710059171598,0.35502958579881655,0.3254437869822485,0.08284023668639054,0.23668639053254437,0.005917159763313609,0.03550295857988166,0.9289940828402367,0.04142011834319527
20,Lucas Giolito,28,R,10,8,0.556,4.13,1,159.0,147,78,73,22,54,1,171,4,0,6,665,1.264,8.3,1.2,3.1,9.7,3.17,76%,giolilu01,0.9245283018867925,0.49056603773584906,0.4591194968553459,0.13836477987421383,0.33962264150943394,0.006289308176100629,0.025157232704402517,1.0754716981132075,0.03773584905660377
21,Marco Gonzales,31,L,10,10,0.5,3.96,1,166.0,161,81,73,26,47,2,119,7,0,2,697,1.253,8.7,1.4,2.5,6.5,2.53,76%,gonzama02,0.9698795180722891,0.4879518072289157,0.4397590361445783,0.1566265060240964,0.28313253012048195,0.012048192771084338,0.04216867469879518,0.7168674698795181,0.012048192771084338
22,Cole Irvin,29,L,9,12,0.429,4.02,1,168.0,167,83,75,21,41,2,128,7,0,4,703,1.238,8.9,1.1,2.2,6.9,3.12,76%,irvinco01,0.9940476190476191,0.49404761904761907,0.44642857142857145,0.125,0.24404761904761904,0.011904761904761904,0.041666666666666664,0.7619047619047619,0.023809523809523808
23,Merrill Kelly,34,R,10,9,0.526,3.78,1,176.0,162,78,74,20,53,2,152,4,1,4,724,1.222,8.3,1.0,2.7,7.8,2.87,76%,kellyme01,0.9204545454545454,0.4431818181818182,0.42045454545454547,0.11363636363636363,0.30113636363636365,0.011363636363636364,0.022727272727272728,0.8636363636363636,0.022727272727272728
24,Sean Manaea,31,L,9,9,0.5,4.33,1,156.0,152,81,75,23,45,1,154,6,0,3,657,1.263,8.8,1.3,2.6,8.9,3.42,76%,manaese01,0.9743589743589743,0.5192307692307693,0.4807692307692308,0.14743589743589744,0.28846153846153844,0.00641025641025641,0.038461538461538464,0.9871794871794872,0.019230769230769232
25,Charlie Morton,39,R,10,7,0.588,4.04,1,165.0,144,79,74,21,58,1,178,15,0,5,689,1.224,7.9,1.1,3.2,9.7,3.07,76%,mortoch02,0.8727272727272727,0.47878787878787876,0.4484848484848485,0.12727272727272726,0.3515151515151515,0.006060606060606061,0.09090909090909091,1.0787878787878789,0.030303030303030304
26,Joe Musgrove,30,R,9,8,0.529,3.27,1,168.0,143,67,61,20,48,2,174,13,0,4,695,1.137,7.7,1.1,2.6,9.3,3.63,76%,musgrjo01,0.8511904761904762,0.39880952380952384,0.3630952380952381,0.11904761904761904,0.2857142857142857,0.011904761904761904,0.07738095238095238,1.0357142857142858,0.023809523809523808
27,Martín Pérez,32,L,10,9,0.526,3.57,1,164.0,159,73,65,16,57,1,142,7,1,5,698,1.317,8.7,0.9,3.1,7.8,2.49,76%,perezma02,0.9695121951219512,0.4451219512195122,0.39634146341463417,0.0975609756097561,0.3475609756097561,0.006097560975609756,0.042682926829268296,0.8658536585365854,0.03048780487804878
28,Nick Pivetta,30,R,9,10,0.474,4.36,2,165.0,154,83,80,23,65,1,165,6,1,8,703,1.327,8.4,1.3,3.5,9.0,2.54,76%,pivetni01,0.9333333333333333,0.503030303030303,0.48484848484848486,0.1393939393939394,0.3939393939393939,0.006060606060606061,0.03636363636363636,1.0,0.048484848484848485
29,Julio Urías,26,L,15,6,0.714,2.77,1,166.0,131,58,51,19,41,1,163,6,1,2,669,1.036,7.1,1.0,2.2,8.8,3.98,76%,uriasju01,0.7891566265060241,0.3493975903614458,0.3072289156626506,0.1144578313253012,0.2469879518072289,0.006024096385542169,0.03614457831325301,0.9819277108433735,0.012048192771084338
30,Logan Webb,26,R,12,7,0.632,3.23,1,170.0,152,70,61,12,47,1,159,8,0,5,702,1.171,8.0,0.6,2.5,8.4,3.38,76%,webblo01,0.8941176470588236,0.4117647058823529,0.3588235294117647,0.07058823529411765,0.27647058823529413,0.0058823529411764705,0.047058823529411764,0.9352941176470588,0.029411764705882353
31,Zack Wheeler,33,R,11,8,0.579,3.08,1,158.0,134,59,54,14,39,1,164,7,0,3,637,1.095,7.6,0.8,2.2,9.3,4.21,76%,wheelza01,0.8481012658227848,0.37341772151898733,0.34177215189873417,0.08860759493670886,0.2468354430379747,0.006329113924050633,0.04430379746835443,1.0379746835443038,0.0189873417721519
32,Madison Bumgarner,33,L,7,12,0.368,4.68,1,154.0,159,88,80,24,48,1,122,10,0,3,663,1.344,9.3,1.4,2.8,7.1,2.54,75%,bumgama01,1.0324675324675325,0.5714285714285714,0.5194805194805194,0.15584415584415584,0.3116883116883117,0.006493506493506494,0.06493506493506493,0.7922077922077922,0.01948051948051948
33,Kyle Freeland,30,L,8,10,0.444,4.28,1,160.0,169,81,76,19,50,1,130,10,0,3,688,1.369,9.5,1.1,2.8,7.3,2.6,75%,freelky01,1.05625,0.50625,0.475,0.11875,0.3125,0.00625,0.0625,0.8125,0.01875
34,Frankie Montas,30,R,8,10,0.444,3.81,1,151.0,140,71,64,18,48,2,153,6,0,7,635,1.245,8.3,1.1,2.9,9.1,3.19,75%,montafr02,0.9271523178807947,0.47019867549668876,0.423841059602649,0.11920529801324503,0.31788079470198677,0.013245033112582781,0.039735099337748346,1.0132450331125828,0.046357615894039736
35,Jordan Montgomery,30,L,8,7,0.533,3.71,1,165.0,153,73,68,19,44,0,155,6,0,7,684,1.194,8.3,1.0,2.4,8.5,3.52,75%,montgjo01,0.9272727272727272,0.44242424242424244,0.4121212121212121,0.11515151515151516,0.26666666666666666,0.0,0.03636363636363636,0.9393939393939394,0.04242424242424243
36,Cal Quantrill,28,R,11,5,0.688,3.28,1,159.0,146,66,58,17,46,1,126,9,0,3,660,1.208,8.3,1.0,2.6,7.1,2.74,75%,quantca01,0.9182389937106918,0.41509433962264153,0.36477987421383645,0.1069182389937107,0.2893081761006289,0.006289308176100629,0.05660377358490566,0.7924528301886793,0.018867924528301886
37,Brandon Woodruff,30,R,10,7,0.588,3.08,1,155.0,124,57,53,17,43,0,177,6,0,3,627,1.077,7.2,1.0,2.5,10.3,4.12,75%,woodrbr01,0.8,0.36774193548387096,0.3419354838709677,0.10967741935483871,0.27741935483870966,0.0,0.03870967741935484,1.1419354838709677,0.01935483870967742
38,Shane Bieber,28,R,11,7,0.611,3.02,1,170.0,145,63,57,17,42,0,185,4,1,6,688,1.1,7.7,0.9,2.2,9.8,4.4,74%,biebesh01,0.8529411764705882,0.37058823529411766,0.3352941176470588,0.1,0.24705882352941178,0.0,0.023529411764705882,1.088235294117647,0.03529411764705882
39,Zac Gallen,27,R,9,7,0.563,3.24,1,164.0,127,63,59,17,51,1,172,9,0,6,667,1.085,7.0,0.9,2.8,9.4,3.37,74%,galleza01,0.774390243902439,0.38414634146341464,0.3597560975609756,0.10365853658536585,0.31097560975609756,0.006097560975609756,0.054878048780487805,1.048780487804878,0.036585365853658534
40,Zack Greinke,39,R,7,8,0.467,3.97,1,145.0,153,71,64,19,35,0,101,4,0,5,608,1.297,9.5,1.2,2.2,6.3,2.89,74%,greinza01,1.0551724137931036,0.4896551724137931,0.4413793103448276,0.1310344827586207,0.2413793103448276,0.0,0.027586206896551724,0.696551724137931,0.034482758620689655
41,Triston McKenzie,25,R,9,10,0.474,3.52,1,166.0,124,68,65,22,51,0,172,5,1,6,666,1.054,6.7,1.2,2.8,9.3,3.37,74%,mckentr01,0.7469879518072289,0.40963855421686746,0.39156626506024095,0.13253012048192772,0.3072289156626506,0.0,0.030120481927710843,1.036144578313253,0.03614457831325301
42,Max Scherzer,38,R,11,6,0.647,2.86,1,151.0,121,52,48,17,36,1,172,9,0,3,601,1.04,7.2,1.0,2.1,10.3,4.78,74%,scherma01,0.8013245033112583,0.3443708609271523,0.31788079470198677,0.11258278145695365,0.23841059602649006,0.006622516556291391,0.059602649006622516,1.1390728476821192,0.019867549668874173
43,Jameson Taillon,31,R,11,6,0.647,4.03,1,163.0,152,76,73,23,42,1,146,6,0,4,678,1.19,8.4,1.3,2.3,8.1,3.48,74%,taillja01,0.9325153374233128,0.4662576687116564,0.44785276073619634,0.1411042944785276,0.25766871165644173,0.006134969325153374,0.03680981595092025,0.8957055214723927,0.024539877300613498
44,Taijuan Walker,30,R,10,8,0.556,3.8,1,154.0,137,70,65,19,49,1,136,6,0,3,640,1.208,8.0,1.1,2.9,7.9,2.78,74%,walketa01,0.8896103896103896,0.45454545454545453,0.42207792207792205,0.12337662337662338,0.3181818181818182,0.006493506493506494,0.03896103896103896,0.8831168831168831,0.01948051948051948
45,JT Brubaker,29,R,5,11,0.313,4.63,1,144.0,146,80,74,20,50,1,144,9,1,5,629,1.361,9.1,1.3,3.1,9.0,2.88,73%,brubajt01,1.0138888888888888,0.5555555555555556,0.5138888888888888,0.1388888888888889,0.3472222222222222,0.006944444444444444,0.0625,1.0,0.034722222222222224
46,Johnny Cueto,37,R,8,9,0.471,3.87,1,149.0,154,70,64,17,41,2,114,6,1,3,626,1.309,9.3,1.0,2.5,6.9,2.78,73%,cuetojo01,1.0335570469798658,0.4697986577181208,0.42953020134228187,0.11409395973154363,0.2751677852348993,0.013422818791946308,0.040268456375838924,0.7651006711409396,0.020134228187919462
47,Zach Davies,30,R,6,8,0.429,4.37,1,142.0,136,75,69,20,57,1,116,4,0,2,610,1.359,8.6,1.3,3.6,7.4,2.04,73%,davieza02,0.9577464788732394,0.528169014084507,0.4859154929577465,0.14084507042253522,0.4014084507042254,0.007042253521126761,0.028169014084507043,0.8169014084507042,0.014084507042253521
48,Dane Dunning,28,R,6,9,0.4,4.26,1,148.0,147,74,70,18,55,0,137,9,0,7,637,1.365,8.9,1.1,3.3,8.3,2.49,73%,dunnida01,0.9932432432432432,0.5,0.47297297297297297,0.12162162162162163,0.3716216216216216,0.0,0.060810810810810814,0.9256756756756757,0.0472972972972973
49,Chris Flexen,28,R,9,7,0.563,3.66,2,140.0,136,61,57,16,43,2,106,4,0,5,588,1.279,8.7,1.0,2.8,6.8,2.47,73%,flexech01,0.9714285714285714,0.4357142857142857,0.40714285714285714,0.11428571428571428,0.30714285714285716,0.014285714285714285,0.02857142857142857,0.7571428571428571,0.03571428571428571
50,Luis Garcia,26,R,12,8,0.6,3.59,1,153.0,129,66,61,19,48,1,154,3,1,7,627,1.157,7.6,1.1,2.8,9.1,3.21,73%,garcilu05,0.8431372549019608,0.43137254901960786,0.39869281045751637,0.12418300653594772,0.3137254901960784,0.006535947712418301,0.0196078431372549,1.0065359477124183,0.0457516339869281
51,Logan Gilbert,26,R,10,7,0.588,3.6,1,165.0,149,71,66,18,45,2,162,7,0,6,687,1.176,8.1,1.0,2.5,8.8,3.6,73%,gilbelo01,0.9030303030303031,0.4303030303030303,0.4,0.10909090909090909,0.2727272727272727,0.012121212121212121,0.04242424242424243,0.9818181818181818,0.03636363636363636
52,Brad Keller,27,R,7,11,0.389,4.6,2,135.0,140,76,69,16,54,1,112,5,0,7,592,1.437,9.3,1.1,3.6,7.5,2.07,73%,kellebr01,1.037037037037037,0.562962962962963,0.5111111111111111,0.11851851851851852,0.4,0.007407407407407408,0.037037037037037035,0.8296296296296296,0.05185185185185185
53,Pablo López,27,R,9,9,0.5,3.6,1,160.0,140,68,64,17,47,1,161,8,0,4,661,1.169,7.9,1.0,2.6,9.1,3.43,73%,lopezpa01,0.875,0.425,0.4,0.10625,0.29375,0.00625,0.05,1.00625,0.025
54,Tyler Mahle,28,R,8,7,0.533,3.98,1,138.0,121,64,61,17,49,0,147,6,1,4,580,1.232,7.9,1.1,3.2,9.6,3.0,73%,mahlety01,0.8768115942028986,0.463768115942029,0.4420289855072464,0.12318840579710146,0.35507246376811596,0.0,0.043478260869565216,1.065217391304348,0.028985507246376812
55,Alek Manoah,25,R,13,6,0.684,2.75,1,170.0,128,58,52,16,50,0,168,14,0,4,691,1.047,6.8,0.8,2.6,8.9,3.36,73%,manoaal01,0.7529411764705882,0.3411764705882353,0.3058823529411765,0.09411764705882353,0.29411764705882354,0.0,0.08235294117647059,0.9882352941176471,0.023529411764705882
56,Carlos Rodón,30,L,12,8,0.6,3.06,1,162.0,126,59,55,14,49,1,199,6,0,8,657,1.08,7.0,0.8,2.7,11.1,4.06,73%,rodonca01,0.7777777777777778,0.36419753086419754,0.3395061728395062,0.08641975308641975,0.30246913580246915,0.006172839506172839,0.037037037037037035,1.228395061728395,0.04938271604938271
57,Brady Singer,26,R,8,8,0.5,3.77,1,148.0,140,68,62,16,45,1,145,10,1,4,622,1.25,8.5,1.0,2.7,8.8,3.22,73%,singebr01,0.9459459459459459,0.4594594594594595,0.4189189189189189,0.10810810810810811,0.30405405405405406,0.006756756756756757,0.06756756756756757,0.9797297297297297,0.02702702702702703
58,Marcus Stroman,32,R,7,9,0.438,3.43,1,147.0,133,64,56,16,41,1,129,6,1,4,608,1.184,8.1,1.0,2.5,7.9,3.15,73%,stromma01,0.9047619047619048,0.43537414965986393,0.38095238095238093,0.10884353741496598,0.2789115646258503,0.006802721088435374,0.04081632653061224,0.8775510204081632,0.027210884353741496
59,Kris Bubic,25,L,5,10,0.333,4.6,1,133.0,136,74,68,18,56,1,120,6,1,3,581,1.444,9.2,1.2,3.8,8.1,2.14,72%,bubickr01,1.0225563909774436,0.556390977443609,0.5112781954887218,0.13533834586466165,0.42105263157894735,0.007518796992481203,0.045112781954887216,0.9022556390977443,0.022556390977443608
60,Nathan Eovaldi,33,R,8,6,0.571,3.86,1,133.0,134,63,57,17,31,1,130,5,0,4,558,1.241,9.1,1.2,2.1,8.8,4.19,72%,eovalna01,1.0075187969924813,0.47368421052631576,0.42857142857142855,0.12781954887218044,0.23308270676691728,0.007518796992481203,0.03759398496240601,0.9774436090225563,0.03007518796992481
61,Jon Gray,31,R,8,9,0.471,4.21,1,139.0,125,71,65,18,47,1,137,7,1,5,584,1.237,8.1,1.2,3.0,8.9,2.91,72%,grayjo02,0.8992805755395683,0.5107913669064749,0.4676258992805755,0.12949640287769784,0.3381294964028777,0.007194244604316547,0.050359712230215826,0.9856115107913669,0.03597122302158273
62,Rich Hill,43,L,7,8,0.467,4.11,1,138.0,133,69,63,17,47,0,120,8,1,2,578,1.304,8.7,1.1,3.1,7.8,2.55,72%,hillri01,0.9637681159420289,0.5,0.45652173913043476,0.12318840579710146,0.34057971014492755,0.0,0.057971014492753624,0.8695652173913043,0.014492753623188406
63,Mitch Keller,27,R,6,11,0.353,4.26,1,148.0,151,75,70,14,58,1,134,10,1,3,645,1.412,9.2,0.9,3.5,8.1,2.31,72%,kellemi03,1.0202702702702702,0.5067567567567568,0.47297297297297297,0.0945945945945946,0.3918918918918919,0.006756756756756757,0.06756756756756757,0.9054054054054054,0.02027027027027027
64,Eric Lauer,28,L,9,7,0.563,3.68,1,149.0,127,66,61,21,53,1,146,4,1,4,623,1.208,7.7,1.3,3.2,8.8,2.75,72%,lauerer01,0.8523489932885906,0.4429530201342282,0.40939597315436244,0.14093959731543623,0.35570469798657717,0.006711409395973154,0.026845637583892617,0.9798657718120806,0.026845637583892617
65,Lance Lynn,36,R,9,7,0.563,3.55,1,137.0,124,62,54,18,36,1,138,7,0,5,569,1.168,8.1,1.2,2.4,9.1,3.83,72%,lynnla01,0.9051094890510949,0.45255474452554745,0.39416058394160586,0.13138686131386862,0.26277372262773724,0.0072992700729927005,0.051094890510948905,1.0072992700729928,0.0364963503649635
66,Zach Plesac,28,R,7,9,0.438,4.11,1,140.0,133,71,64,19,39,1,113,6,0,4,588,1.229,8.6,1.2,2.5,7.3,2.9,72%,plesaza01,0.95,0.5071428571428571,0.45714285714285713,0.1357142857142857,0.2785714285714286,0.007142857142857143,0.04285714285714286,0.8071428571428572,0.02857142857142857
67,Alex Cobb,35,R,8,8,0.5,3.88,1,144.0,142,71,62,12,47,0,138,5,1,5,609,1.313,8.9,0.8,2.9,8.6,2.94,71%,cobbal01,0.9861111111111112,0.4930555555555556,0.4305555555555556,0.08333333333333333,0.3263888888888889,0.0,0.034722222222222224,0.9583333333333334,0.034722222222222224
68,Kyle Hendricks,33,R,8,7,0.533,4.43,1,120.0,123,62,59,18,33,1,96,6,0,2,510,1.3,9.2,1.4,2.5,7.2,2.91,71%,hendrky01,1.025,0.5166666666666667,0.49166666666666664,0.15,0.275,0.008333333333333333,0.05,0.8,0.016666666666666666
69,Yusei Kikuchi,32,L,6,7,0.462,4.58,2,118.0,110,66,60,20,52,0,125,6,0,4,511,1.373,8.4,1.5,4.0,9.5,2.4,71%,kikucyu01,0.9322033898305084,0.559322033898305,0.5084745762711864,0.1694915254237288,0.4406779661016949,0.0,0.05084745762711865,1.0593220338983051,0.03389830508474576
70,Shane McClanahan,26,L,11,8,0.579,3.06,1,156.0,126,57,53,17,42,1,174,4,0,8,628,1.077,7.3,1.0,2.4,10.0,4.14,71%,mcclash01,0.8076923076923077,0.36538461538461536,0.33974358974358976,0.10897435897435898,0.2692307692307692,0.00641025641025641,0.02564102564102564,1.1153846153846154,0.05128205128205128
71,Antonio Senzatela,28,R,5,8,0.385,4.28,1,122.0,139,63,58,12,32,1,88,6,1,3,525,1.402,10.3,0.9,2.4,6.5,2.75,71%,senzaan01,1.139344262295082,0.5163934426229508,0.47540983606557374,0.09836065573770492,0.26229508196721313,0.00819672131147541,0.04918032786885246,0.7213114754098361,0.02459016393442623
72,Blake Snell,30,L,8,8,0.5,3.74,1,137.0,115,60,57,15,57,1,165,4,0,7,576,1.255,7.6,1.0,3.7,10.8,2.89,71%,snellbl01,0.8394160583941606,0.43795620437956206,0.41605839416058393,0.10948905109489052,0.41605839416058393,0.0072992700729927005,0.029197080291970802,1.2043795620437956,0.051094890510948905
